current=359
Banner,Char1,Char2,Char3,LD,Burst
351,Maria,Lilisette,Ardyn,Ardyn,Ardyn
352,Kain,Rinoa,Alphinaud,Rinoa,Ardyn
353,Yuna,Kimahri,Noel,Kimahri,Ardyn
354,Palom,Edward,Hope,Edward,Ardyn
355,Shadow,Kefka,Aerith,Kefka,Kefka
356,Freya,Seymour,Lyse,Kefka,Kefka
357,Firion,Emperor,Gilgamesh,Emperor,Kefka
358,Relm,Strago,Ashe,Strago,Kefka
359,Warrior of Light,Laguna,Thancred,Warrior of Light,Warrior of Light
360,Yda,Agrias,Cinque,Warrior of Light,Warrior of Light
361,Eight,King,Quistis,Eight,Warrior of Light
362,Edgar,Seifer,Kurasame,Kurasame,Warrior of Light
363,Garnet,Kuja,Lulu,Kuja,Kuja
364,Rydia,Porom,Papalymo,Kuja,Kuja
365,Gau,Terra,Selphie,Gau,Kuja
366,Sabin,Vayne,Gladiolus,Gladiolus,Kuja
367,Zack,Raijin,Penelo,Lightning,Lightning
368,Edge,Vincent,Lightning,Lightning,Lightning
